Localidad;Participación;Habitantes;Porcentaje de Habitantes
ANTONIO NARIÑO;3.3%; 108,941 ;1%
BARRIOS UNIDOS;1.5%; 240,960 ;3%
BOSA;0.0%; 646,833 ;8%
CHAPINERO;27.3%; 137,870 ;2%
CIUDAD BOLÍVAR;0.0%; 687,923 ;9%
ENGATIVÁ;3.0%; 874,755 ;11%
FONTIBÓN;19.3%; 380,453 ;5%
KENNEDY;4.0%; 1,069,469 ;14%
LA CANDELARIA;3.3%; 24,096 ;0%
LOS MÁRTIRES;0.2%; 98,758 ;1%
PUENTE ARANDA;0.5%; 258,414 ;3%
RAFAEL URIBE URIBE;0.3%; 375,107 ;5%
SAN CRISTÓBAL;0.0%; 406,025 ;5%
SANTA FE;8.0%; 110,053 ;1%
SUBA;6.0%; 1,174,736 ;15%
SUMAPAZ;0.0%; 6,460 ;0%
TEUSAQUILLO;6.0%; 151,092 ;2%
TUNJUELITO;0.6%; 200,048 ;3%
USAQUÉN;16.5%; 494,066 ;6%
USME;0.2%; 432,724 ;5%
Total;100%; 7,878,783 ;100%
